,R_mean,R_median,R_std,G_mean,G_median,G_std,B_mean,B_median,B_std,IR_mean,IR_median,IR_std,DomCol1_R,DomCol1_G,DomCol1_B,DomCol2_R,DomCol2_G,DomCol2_B,Edge_mean,Edge_median,Edge_std
393,91.376172,88.0,40.64783616167553,95.482367,94.0,38.86610313727517,90.690146,88.0,35.34077269243961,128.91598,129.0,38.07629194971065,0.37922467588654635,0.39925928921656584,0.3729669399380739,0.5895410127845648,0.5909900162527483,0.3729669399380739,0.07041235958781787,0.054709044816877266,0.056971204539553115
394,109.608198,110.0,43.09697654352097,109.228456,109.0,42.12084775804095,103.058825,102.0,37.57431977587053,133.687185,137.0,39.44963877877432,0.42831281850342134,0.4258646093376732,0.39799869543685046,0.6304399677191295,0.6261787262478201,0.39799869543685046,0.06781495962967912,0.053671434090866596,0.05445949608386348
395,103.101755,101.0,40.18304078737664,104.542527,103.0,39.03238349696661,97.669438,96.0,34.98931383671528,133.65846,134.0,36.92236916055632,0.22255576338273791,0.23014084242003707,0.22492060565199912,0.6009210573662372,0.6000173731747301,0.22492060565199912,0.06500849639411564,0.05211777984314519,0.05093184978354925
396,100.541448,98.0,43.43207333369311,100.942708,99.0,41.61222543468128,94.600547,91.0,36.36615402129831,130.166335,131.0,36.64906737787163,0.40944734038253056,0.4112286484862454,0.3793077466323762,0.21018699930530038,0.21853480719652338,0.3793077466323762,0.056357687479115556,0.04456203206809218,0.0454089295962107
397,95.939876,94.0,43.304933981067606,98.735396,99.0,40.933979023827916,91.703706,90.0,35.76439743467747,134.489937,135.0,36.36160943544758,0.3935548454874499,0.4074518483527025,0.3707030121373341,0.191624138412407,0.2095325062466591,0.3707030121373341,0.05047968944841261,0.03970285633591491,0.040872345341404215
398,96.598008,99.0,41.80902879082383,98.731288,102.0,40.33051869070192,94.403714,95.0,34.33741185654802,128.539039,131.0,37.918865805248956,0.3953174564281319,0.40517377064407256,0.3795966987476676,0.1825272759372599,0.1955381589868867,0.3795966987476676,0.04835760190322487,0.03854824166928921,0.03897271448918061
399,71.916669,70.0,34.71873461035755,77.744615,77.0,34.69797990520162,75.804067,74.0,28.336172064333443,121.859666,121.0,38.18601110836853,0.29990859548764126,0.3289085375943797,0.31041967786642033,0.14288456960954365,0.1610665933466454,0.31041967786642033,0.04444209733455381,0.03474518656209679,0.036427064714495486
400,66.120106,65.0,31.756738978502884,82.833146,83.0,31.730766485269218,79.131533,78.0,27.201687412179243,109.513227,123.0,61.238407499268554,0.13675661369357875,0.1961736027682391,0.2076603795298611,0.4492414205539185,0.5049833803716021,0.2076603795298611,0.043707933094038275,0.03175320537392478,0.042400493487780536
401,57.386093,48.0,49.960631313018354,79.169262,72.0,43.898683560846756,79.191267,69.0,37.45230986113821,66.364153,17.0,73.41603527563029,0.31973905556649773,0.39219762512874634,0.3673763726986192,0.07750477944734992,0.1813321365875969,0.3673763726986192,0.030179995863854333,0.010421711581112401,0.04435033249362605
402,6.238677,1.0,12.698443538074697,32.483875,26.0,14.976043936379693,47.414201,44.0,9.228587786416673,1.115327,0.0,6.597222952354346,0.005944079589921431,0.1031473221073397,0.17228627686357373,0.07040565375546882,0.20059072895541788,0.17228627686357373,0.001063320293104008,0.0,0.0059499622552204885
403,7.370753,1.0,16.3853137050528,33.411447,27.0,17.02450658216534,48.142146,45.0,11.978866161481394,1.227534,0.0,10.60481250559594,0.009053630458718752,0.10917811437080244,0.17509592526328457,0.5935773098893377,0.6494786636895742,0.17509592526328457,0.0011165483380072751,0.0,0.009171838528907822
404,0.443014,0.0,1.0785381754040977,23.322914,23.0,1.913481786849303,43.295647,43.0,2.3278968730145677,0.011112,0.0,0.36863603114182975,0.003922478891400713,0.09778024218556416,0.17795302725735723,0.0008149881102649595,0.08891235250085157,0.17795302725735723,6.244816981746911e-05,0.0,0.0014802832953157807
405,0.472119,0.0,1.1566791473174394,24.17164,24.0,2.5556039815276543,44.575869,44.0,2.6556848259609045,0.011188,0.0,0.3009000310003307,0.0008080444325164745,0.08939323844643443,0.16957387185395953,0.00294281169642775,0.10176486977961101,0.16957387185395953,5.948255564514457e-05,0.0,0.0011889383813112786
406,0.491157,0.0,1.4656915778399626,22.419082,22.0,2.8097413185693805,44.033025,44.0,3.291153346377983,0.031321,0.0,0.6116747460529982,0.001055277157329,0.08560918018963388,0.1699218384027672,0.006065914619892553,0.09999487396814423,0.1699218384027672,0.00017164082447487485,0.0,0.002442107708874648
